Religious_Place,Country,Date,visitor_count,crowd_level,Public_Holiday,Past Crowd Levels
Golden Temple,India,2030-10-02,4856,Low,Yes,1810
Kaaba (Masjid al-Haram),Saudi Arabia,2039-04-11,3574,High,Yes,1086
Masjid an-Nabawi,Saudi Arabia,2028-05-15,3290,High,No,1209
Al-Aqsa Mosque,Palestine,2040-03-14,553,Medium,No,460
Sheikh Zayed Grand Mosque,UAE,2044-05-03,1600,High,No,2724
Jama Masjid,India,2018-02-03,1666,Low,No,788
Badshahi Mosque,Pakistan,2040-07-23,2657,Medium,No,959
Hassan II Mosque,Morocco,2040-02-13,1554,High,No,2052
Kashi Vishwanath Temple,India,2022-02-05,3327,High,No,3381
Jagannath Temple,India,2043-04-09,4261,Medium,No,3392
Tirupati Balaji Temple,India,2029-12-24,1842,High,No,2051
Somnath Temple,India,2022-08-19,4999,Low,No,318
Meenakshi Amman Temple,India,2027-10-19,4978,Low,No,3745
Akshardham Temple,India,2042-03-11,1006,High,No,2751
Kedarnath Temple,India,2032-03-24,1882,Low,No,1569
Badrinath Temple,India,2043-12-23,2748,High,No,1171
St. Peter’s Basilica,Vatican City,2039-10-29,1147,High,No,3502
Church of the Holy Sepulchre,Israel,2022-12-01,1029,High,Yes,2952
Notre Dame Cathedral,France,2022-11-19,2164,Medium,Yes,1004
Basilica of Our Lady of Guadalupe,Mexico,2043-08-30,822,Low,Yes,2885
St. Paul’s Cathedral,UK,2038-05-29,1921,Medium,Yes,2896
Basilica of Bom Jesus,India,2039-05-22,534,Medium,Yes,1236
Sagrada Familia,Spain,2041-01-17,4831,Low,Yes,1922
Mahabodhi Temple,India,2028-07-22,3423,Medium,No,2
Shwedagon Pagoda,Myanmar,2040-08-02,2080,High,No,3962
Borobudur Temple,Indonesia,2024-12-15,4478,High,No,1043
Jokhang Temple,Tibet (China),2037-12-23,4788,Medium,No,575
Wat Pho,Thailand,2029-07-28,2133,High,No,3103
Wat Arun,Thailand,2019-10-18,1868,Low,No,2516
Boudhanath Stupa,Nepal,2034-03-20,4540,Medium,No,738
Western Wall,Israel,2018-12-13,713,High,No,2405
